@relation train

@attribute pclass {1,2,3}
@attribute sex {female,male}
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {C,Q,S}
@attribute decks { 'A','B','C','D','E','F','G','T' }
@attribute cabinNum { '0','1','10','101','102','103','104','106','11','110','111','118','12','121','123','124','125','126','128','14','148','15','16','17','18','19','2','20','21','22','23','24','25','26','28','3','30','31','32','33','34','35','36','37','38','39','4','40','41','42','44','45','46','47','48','49','5','50','52','54','56','58','6','63','65','67','68','69','7','70','71','73','77','78','79','8','80','82','83','85','86','87','9','90','91','92','93','94','95','99' }
@attribute title { "Mr","Mrs","Miss","Master","Other" }
@attribute survived {0,1}

@data
3,"male",19,0,0,7.775,"S",?,?,"Mr",0
1,"female",42,0,0,227.525,"C",?,?,"Miss",1
3,"female",1,0,2,15.7417,"C",?,?,"Miss",1
3,"male",32,0,0,7.925,"S",?,?,"Mr",0
1,"female",35,1,0,52,"S",?,?,"Mrs",1
3,"male",32,0,0,7.8958,"S",?,?,"Mr",0
2,"male",18,0,0,73.5,"S",?,?,"Mr",0
3,"male",1,5,2,46.9,"S",?,?,"Master",0
2,"female",36,0,0,13,"S",?,?,"Miss",1
3,"male",32,0,0,7.7292,"Q",?,?,"Mr",0
2,"female",17,0,0,12,"C",?,?,"Miss",1
1,"male",36,1,2,120,"S","B",?,"Mr",1
3,"male",21,0,0,7.7958,"S",?,?,"Mr",1
3,"male",28,2,0,7.925,"S",?,?,"Mr",0
1,"female",23,1,0,113.275,"C","D","36","Miss",1
3,"female",24,0,2,16.7,"S","G","6","Mrs",1
3,"male",22,0,0,7.7958,"S",?,?,"Mr",0
3,"female",31,0,0,7.8542,"S",?,?,"Miss",0
2,"male",46,0,0,26,"S",?,?,"Mr",0
2,"male",23,0,0,10.5,"S",?,?,"Other",0
2,"female",28,0,0,12.65,"S",?,?,"Mrs",1
3,"male",39,0,0,7.925,"S",?,?,"Mr",1
3,"male",26,0,0,8.05,"S",?,?,"Mr",0
3,"female",21,1,0,9.825,"S",?,?,"Miss",0
3,"male",28,1,0,15.85,"S",?,?,"Mr",0
3,"female",20,0,0,8.6625,"S",?,?,"Miss",0
2,"male",34,1,0,21,"S",?,?,"Mr",0
3,"male",51,0,0,7.75,"S",?,?,"Mr",0
2,"male",3,1,1,18.75,"S",?,?,"Master",1
3,"male",21,0,0,7.775,"S",?,?,"Mr",0
3,"female",21.8,3,1,25.4667,"S",?,?,"Miss",0
3,"male",32,0,0,7.8958,"S",?,?,"Mr",0
3,"male",32,0,0,6.8583,"Q",?,?,"Mr",0
1,"female",33,1,0,90,"Q","C","78","Miss",1
2,"male",32,0,0,0,"S",?,?,"Mr",0
3,"male",44,0,0,7.925,"S",?,?,"Mr",1
3,"female",35.7,0,0,8.05,"S",?,?,"Mrs",0
2,"female",34,1,1,32.5,"S",?,?,"Mrs",1
2,"female",18,0,2,13,"S",?,?,"Miss",1
2,"male",30,0,0,13,"S",?,?,"Mr",0
3,"female",10,0,2,24.15,"S",?,?,"Miss",0
3,"male",32,0,0,7.8958,"C",?,?,"Mr",0
3,"male",21,0,0,7.7333,"Q",?,?,"Mr",0
3,"male",29,0,0,7.875,"S",?,?,"Mr",0
3,"female",28,1,1,14.4,"S",?,?,"Mrs",0
3,"male",18,1,1,20.2125,"S",?,?,"Mr",0
3,"male",32,0,0,7.25,"S",?,?,"Mr",0
2,"female",28,1,0,26,"S",?,?,"Mrs",1
2,"female",19,0,0,26,"S",?,?,"Miss",1
3,"male",32,0,0,7.75,"Q",?,?,"Mr",0
3,"male",32,0,0,8.05,"S","E","10","Mr",1
1,"male",28,0,0,26.55,"S","C","52","Mr",1
3,"female",35.7,1,0,16.1,"S",?,?,"Mrs",1
2,"female",42,1,0,26,"S",?,?,"Mrs",1
3,"male",17,0,0,7.125,"S",?,?,"Mr",0
1,"male",50,1,0,55.9,"S","E","44","Mr",0
1,"female",14,1,2,120,"S","B",?,"Miss",1
3,"female",21,2,2,34.375,"S",?,?,"Miss",0
2,"female",24,2,3,18.75,"S",?,?,"Mrs",1
1,"male",64,1,4,263,"S","C",?,"Mr",0
2,"male",31,0,0,10.5,"S",?,?,"Mr",0
2,"female",45,1,1,26.25,"S",?,?,"Mrs",1
3,"male",20,0,0,9.5,"S",?,?,"Mr",0
3,"male",25,1,0,7.775,"S",?,?,"Mr",0
2,"female",28,0,0,13,"S",?,?,"Other",1
3,"male",32,0,0,8.1125,"S",?,?,"Mr",1
1,"male",4,0,2,81.8583,"S","A","34","Master",1
2,"female",13,0,1,19.5,"S",?,?,"Miss",1
1,"male",34,0,0,26.55,"S",?,?,"Mr",1
3,"female",5,2,1,19.2583,"C",?,?,"Miss",1
1,"male",52,0,0,30.5,"S","C","104","Other",1
2,"male",36,1,2,27.75,"S",?,?,"Mr",0
3,"male",32,1,0,19.9667,"S",?,?,"Mr",0
1,"male",30,0,0,27.75,"C","C","111","Mr",0
1,"male",49,1,0,89.1042,"C","C","92","Mr",1
3,"male",32,0,0,8.05,"S",?,?,"Mr",0
3,"male",29,0,0,7.8958,"C",?,?,"Mr",1
